Status,Month,Agency,Advertiser,Campaign Name,Device,%Savings,TG,Mobile / CTV,Paid/Test,Campaign id,IO id,Line Item ID,Line Item Name,Start Date,End Date,Markets,Planned Reach 1+,Planned Reach 3+,Del Reach 1+,Planned Freq,Del Freq,Planned Budget,Planned Impressions,Del Impressions,Planned views,Deliverd Views,Pld Complete Views,Del Complete Views,Planned CPV,Del Cpv,Planned CPCV,Deliverd CPCV,Planned CPM - Non Bidvid,"Del Cpm/
Bidvid  cpm",Media plan Sheet Link,Paused Date,Reason,
Delivered,,,,Zouk ,YouTube CTV,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Coimbatore,143860,,,2,,,,,,,,,,,,,₹71,,,,,
Delivered,,,,Zouk ,You Tube CTV,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Coimbatore,22607,,,2,,,,,,,,,₹0.10,,,,,,,,,
Delivered,,,,Zouk ,YouTube CTV- Non Skip,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Coimbatore,13564,,,2,,,,,,,,,,,,,₹131,,,,,
Delivered,,,,Zouk ,YouTube CTV,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Lucknow,292905,,,2,,,,,,,,,,,,,₹94,,,,,
Delivered,,,,Zouk ,You Tube CTV,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Lucknow,50212,,,1.5,,,,,,,,,₹0.12,,,,,,,,,
Delivered,,,,Zouk ,YouTube CTV,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Lucknow,30127,,,2,,,,,,,,,,,,,₹124,,,,,
Delivered,,,,Zouk ,YouTube CTV,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Indore,324000,,,2,,,,,,,,,,,,,₹99,,,,,
Delivered,,,,Zouk ,You Tube CTV,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Indore,74057,,,1.5,,,,,,,,,₹0.14,,,,,,,,,
Delivered,,,,Zouk ,YouTube CTV,,,,Paid,,,,,"July 18th, 2025","Aug 18th, 2025",Indore,44434,,,2,,,,,,,,,,,,,₹129,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered,,,,SGO,YT CTV,,F 25-44 NCCS AB,CTV,Paid,55939065,1022061264,,,25-07-2025,17-09-2025,West Bengal + Odisha,248901,122116,,6,,164275,1493406,1493406,,,,,,,,,₹149,#REF!,,,,
Delivered,,,,SGO,YT CTV,,F 25-44 NCCS AB,CTV,Paid,55947642,1022115392,,,25-07-2025,17-09-2025,AndhraPradesh Telangana,348827,175767,,6,,156972,2092962,2092962,,,,,,,,,₹102,#REF!,,,,
Delivered,,,,SGO,YT CTV,,F 25-44 NCCS AB,CTV,Paid,55922810,1022417050,,,25-07-2025,17-09-2025,Uttar Pradesh,143241,"71,178",,6,,63599,859446,859446,,,,,,,,,₹102,#REF!,,,,
Delivered,,,,SGO,YT CTV,,F 25-44 NCCS AB,CTV,Paid,55947255,1022116226,,,25-07-2025,17-09-2025,Gujarat,383525,206982,,6,,227814,2301150,2301150,,,,,,,,,₹141,#REF!,,,,
Delivered,,,,SGO,YT CTV,,F 25-44 NCCS AB,CTV,Paid,55947690,1022082051,,,25-07-2025,17-09-2025,Rajasthan,"99,042","49,521",,6,,39815,594252,594252,,,,,,,,,₹102,#REF!,,,,
Delivered,,,,SGO,YT CTV,,F 25-44 NCCS AB,CTV,Paid,55923644,1022135570,,,25-07-2025,17-09-2025,Bih + JK,"83,777","42,755",,6,,36192,502662,502662,,,,,,,,,₹102,#REF!,,,,
Delivered,,,,SGO,YT CTV,,F 25-44 NCCS AB,CTV,Paid,55924988,1022440780,,,25-07-2025,17-09-2025,MPCG,163214,"80,659",,6,,67571,979284,979284,,,,,,,,,₹102,#REF!,,,,
Delivered,,,,SGO,YT CTV,,F 25-44 NCCS AB,CTV,Paid,55924499,1022136794,,,25-07-2025,17-09-2025,Punjab,118340,"59,629",,6,,46862,710040,710040,,,,,,,,,₹102,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55912996,1022132543,,,25-07-2025,17-09-2025,Maharashtra,3454173,1635896,,6.5,,4005903,22452124.5,22452124.5,,,,,,,,,₹200,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55939065,1022058390,,,25-07-2025,17-09-2025,West Bengal + Odisha,1306732,658206,,6.5,,993770,8493758,8493758,,,,,,,,,₹118,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55947642,1022135204,,,25-07-2025,17-09-2025,AndhraPradesh Telangana,1046480,510473,,6.5,,904682,6802120,6802120,,,,,,,,,₹149,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55922810,1022136830,,,25-07-2025,17-09-2025,Uttar Pradesh,752016,326603,,6.5,,483922,4888104,4888104,,,,,,,,,₹99,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55947255,1022416633,,,25-07-2025,17-09-2025,Gujarat,1442784,785567,,6.5,,1228531,9378096,9378096,,,,,,,,,₹136,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55924757,1022135180,,,25-07-2025,17-09-2025,Tamil Nadu,1007994,512626,,6.5,,917275,6551961,6551961,,,,,,,,,₹140,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55947690,1022440867,,,25-07-2025,17-09-2025,Rajasthan,483558,230367,,6.5,,301740,3143127,3143127,,,,,,,,,₹97,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55923644,1022439811,,,25-07-2025,17-09-2025,Bih + JK,482468,214262,,6.5,,291652,3136042,3136042,,,,,,,,,₹93,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55913728,1022135294,,,25-07-2025,17-09-2025,karnataka,1191448,605494,,6.5,,1239106,7744412,7744412,,,,,,,,,₹160,#REF!,,,,
Delivered,,,,SGO,YT NSK,,F 25-44 NCCS AB,Mobile,Paid,55924988,1022136524,,,25-07-2025,17-09-2025,MPCG,853787,413725,,6.5,,505015,5549615.5,5549615.5,,,,,,,,,₹95,#REF!,,,,
,,,,,,,,,,,,,,,,,,,,,,"11,674,696",,,,,,,,,,,₹122,#REF!,,,,
Delivered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered,July-2025,Madison,Marico,SMO,YT NSK,25%,F 25-44 NCCS AB,All Devices except CTV,Paid,55955994,1022451802,,,30-07-2025,12-09-2025,Maharashtra (Minus Mumbai),2204393,914030,,4,,1146285,8817572,8817572,,,,,,,,,130,105,All media plan sheet,,,
Delivered,,,,SMO,YT NSK,,MF 25-34 NCCS A,All Devices except CTV,Paid,55931038,1022499958,62276.2,,31-07-2025,03-09-2025,Hyderabad,940903,436666,,4,,355416,3763612,3763612,,,,,,,,,104,84,,,,
Delivered,,,,SMO,YT NSK,,MF 25-34 NCCS A,All Devices except CTV,Paid,55942253,1022499151,,,31-07-2025,12-09-2025,Bangalore,1211316,582207,,4,,513599,4845264,4845264,,,,,,,,,106,89,,,,
Delivered,,,,SMO,YT NSK,,MF 25-34 NCCS A,All Devices except CTV,Paid,55956462,1022144406,,,31-07-2025,12-09-2025,Pune,476119,190638,,4,,200830,1904476,1904476,,,,,,,,,96,86,,,,
Delivered,,,,SMO,YT NSK,,MF 25-34 NCCS A,All Devices except CTV,Paid,55969287,1022191178,,,31-07-2025,12-09-2025,Kolkata,422308,169092,,4,,163991,1689232,1689232,,,,,,,,,103,85,,,,
Delivered,,,,SMO,YT NSK,,MF 18-24 NCCS A,All Devices except CTV,Paid,55951697,1022538046,,,31-07-2025,12-09-2025,Hyderabad,687071,300772,,4,,288570,2748284,2748284,,,,,,,,,105,85,,,,
Delivered,,,,SMO,YT NSK,,MF 18-24 NCCS A,All Devices except CTV,Paid,55940770,1022222684,,,31-07-2025,12-09-2025,Pune,441790,193398,,4,,195552,1767160,1767160,,,,,,,,,105,87,,,,
Delivered,,,,SMO,YT NSK,,MF 18-24 NCCS A,All Devices except CTV,Paid,55971954,1022177136,,,31-07-2025,12-09-2025,Bangalore,844348,369622,,4,,354627,3377392,3377392,,,,,,,,,105,91,,,,
Delivered,,,,SMO,YT NSK,,MF 18-24 NCCS A,All Devices except CTV,Paid,55980486,1022174847,,,31-07-2025,12-09-2025,Jaipur+Indore,208812,91409,,4,,81855,835248,835248,,,,,,,,,98,72,,,,
Delivered,,,,SMO,YT NSK,,MF 18-24 NCCS A,All Devices except CTV,Paid,55950518,1022178891,,,31-07-2025,12-09-2025,Ahmedabad,552003,241645,,4,,251842,2208012,2208012,,,,,,,,,105,102,,,,
Delivered,,,,,,,,,,,"For ""*"" in IO ID are not to be taken for Fee calculation ",,,,,,,,,,,3552567,,,,,,,,,,,105.7,88.6,,,,
Delivered,,,,,,,,,,,"For ""*"" in IO ID agency has requested a minimum of 15% saving",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered,Aug-2025,Icubeswire,POPEYES,POPEYES,,,,,,55543679,,,,18-8-2025,31-8-2025,,,,,,,150000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered,Aug - 2025,Group M,Aditya Birla LI,ABSLI (BAU),YT Mobile (VAS),37.5%,"25-44, M/F, P1 + P2, Affinities & Inmarket audiences",Mobile,A/B Test,,,,,18-8-2025,16-9-2025,Please refer to Aditya Birla LI media plan,"  8,006,500 ",,,2,,2001625,16013000,,,,,,,,,,₹ 125,80,https://docs.google.com/spreadsheets/d/1UhbKwgS8-wtB7HwVF40w2xortdY2wC7UiF0VjPTdkfw/edit?usp=sharing,,,
Delivered,,,,ABSLI (BIDVID),YT Mobile (VAS),,"25-44, M/F, P1 + P2, Affinities & Inmarket audiences",Mobile,A/B Test,,,,,18-8-2025,16-9-2025,Please refer to Aditya Birla LI media plan,"  8,006,500 ",,,2,,2001625,16013000,,,,,,,,,,₹ 125,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered,Aug 2025,SocialBeat/Diginfluenz,Adani,Fortune Soya Chunks,YT CTV Skippable,41.03%,Female 25 - 45,CTV,Paid,56060085,1022533401,22932884376,,26-8-2025,16-9-2025,Delhi NCR,"504,348",,,5,,"290,000","2,521,739",2376678,,,,,0.36,0.24,,,,,https://docs.google.com/spreadsheets/d/1R6QLxQ74nqiKUEl5TMlaFE0LOeOmIc5Ba3F25j31PkA/edit?usp=sharing,,,
Delivered,,,,Fortune Soya Chunks,YT CTV Skippable,,Female 25 - 45,CTV,Paid,56060085,1022533401,22938762617,,26-8-2025,16-9-2025,UP,"696,296",,,5,,"470,000","3,481,481",2615428,,,,,0.42,0.18,,,,,,,,
Delivered,,,,Fortune Soya Chunks,YT CTV Skippable,,Female 25 - 45,CTV,Paid,56060085,1022533401,22932892254,,26-8-2025,16-9-2025,Jharkhand,"104,000",,,5,,"65,000","520,000",583182,,,,,0.39,0.27,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.23,,,,,,,,
Delivered,Aug 2025,Socialbeat,Adani,Fortune KGMO,YT CTV non skip,47.63%,Female 25 - 45,CTV,Paid,56033765,1022616482,22950432910,,28-8-2025,11-9-2025,Delhi NCR,"554,435",,,4,,"165,000","2,217,742",2292834,,,,,,,,,93,67,https://docs.google.com/spreadsheets/d/1tXmz8c7VqORj8au_Mq7caI2qx40jGoKdnYZ0Jr_isEc/edit?usp=sharing,,,
Delivered,,,,Fortune KGMO,YT CTV non skip,,Female 25 - 45,CTV,Paid,56033765,1022616482,22946506061,,28-8-2025,10-9-2025,UP,"694,444",,,4,,"240,000","2,777,778",2858621,,,,,,,,,108,55,,,,
Delivered,,,,Fortune KGMO,YT CTV non skip,,Female 25 - 45,CTV,Paid,56033765,1022616482,22940428980,,28-8-2025,10-9-2025,Bihar,"213,542",,,4,,"82,000","854,167",930441,,,,,,,,,120,54,,,,
Delivered,,,,Fortune KGMO,YT CTV non skip,,Female 25 - 45,CTV,Paid,56033765,1022616482,22940429250,,28-8-2025,10-9-2025,Punjab,"274,175",,,4,,"93,000","1,096,698",1131667,,,,,,,,,₹106,49,,,,
Delivered,,,,Fortune KGMO,YT CTV non skip,,Female 25 - 45,CTV,Paid,56033765,1022616482,22940429208,,28-8-2025,10-9-2025,Haryana,"228,125",,,4,,"73,000","912,500",985612,,,,,,,,,₹100,51,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4,55.2,,,,
Delivered,Sept 2025,Madison,Marico,SPO,YT NSK (All Devices),12.65%,F 25-44 NCCS AB,All Devices,Paid,56056809,1022546246,22929402861,,01-09-2025,30-09-2025,West Bengal (Minus Kolkata),"995,554",434954,,4,,438044,"3,982,216","3,982,216",,,,,,,,,110,92,All media plan sheet,,,
Delivered,,,,SPO,YT NSK (All Devices),,F 25-44 NCCS AB,All Devices,Paid,56020324,1022874505,22939317745,,01-09-2025,30-09-2025,Kolkata * ,"1,377,034",575698,,4,,974940,"5,508,136","5,508,136",,,,,,,,,177,159,,,,
,,,,SPO Campaign ,,,,,,,,,,,," ""*""since the saving was less than 12% we are not concidering this IO for billing ",,,,,,,,,,,,,,,,,143.5,125.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered,Sep 2025,Socialbeat,Adani,Fortune Atta,YT Skippable,56.82%,F 25-45,Mobile,Paid,56061400,1022752976,22991092534,,05-09-2025,30-09-2025,Delhi NCR,"19,06,250",,,4,,"6,10,000","76,25,000",,"5,931,056",,,,0.28,0.1,,,,,All media plan sheet,,,
Delivered,,,,Fortune Atta,YT Skippable,,F 25-45,Mobile,Paid,56061400,1022752976,22991096836,,05-09-2025,30-09-2025,Jaipur,"3,71,622",,,4,,"55,000","14,86,486",,"903,249",,,,0.13,0.06,,,,,,,,
Delivered,,,,Fortune Atta,YT Skippable,,F 25-45,Mobile,Paid,56061400,1022752976,22980740070,,05-09-2025,30-09-2025,Jodhpur,"1,48,810",,,4,,"25,000","5,95,238",,"366,572",,,,0.14,0.07,,,,,,,,
Delivered,,,,Fortune Atta,YT Skippable,,F 25-45,Mobile,Paid,56061400,1022752976,22980740058,,05-09-2025,30-09-2025,Kota,"1,12,500",,,4,,"18,000","4,50,000",,"271,783",,,,0.14,0.07,,,,,,,,
Delivered,,,,Fortune Atta,YT NON-SKIP,,F 25-45,Mobile,Paid,56061400,1022752976,22980629883,,05-09-2025,30-09-2025,Mumbai,"12,64,045",,,4,,"4,50,000","50,56,180",,"2,432,778",,,,0.31,0.18,,,,,,,,
Delivered,,,,Fortune Atta,YT NON-SKIP,,F 25-45,Mobile,Paid,56061400,1022752976,22990984696,,05-09-2025,30-09-2025,Pune ,"7,33,333",,,4,,"2,20,000","29,33,333",,"1,109,985",,,,0.26,0.08,,,,,,,,
Delivered,,,,Fortune Atta,YT NON-SKIP,,F 25-45,Mobile,Paid,56061400,1022752976,22980631626,,05-09-2025,30-09-2025,Nagpur,"3,03,571",,,4,,"85,000","12,14,286",,"441,559",,,,0.24,0.08,,,,,,,,
Delivered,,,,Fortune Atta,YT NON-SKIP,,F 25-45,Mobile,Paid,56061400,1022752976,22990982791,,05-09-2025,30-09-2025,Nashik,"1,90,000",,,4,,"38,000","7,60,000",,"314,458",,,,0.17,0.08,,,,,,,,
Delivered,,,,Fortune Atta,YT NON-SKIP,,F 25-45,Mobile,Paid,56061400,1022752976,22980685413,,05-09-2025,30-09-2025,Surat,"7,00,000",,,4,,"1,40,000","28,00,000",,"1,358,028",,,,0.17,0.08,,,,,,,,
Delivered,,,,Fortune Atta,YT NON-SKIP,,F 25-45,Mobile,Paid,56061400,1022752976,22986937112,,05-09-2025,30-09-2025,Vadodara,"2,25,000",,,4,,"45,000","9,00,000",,"364,876",,,,0.17,0.07,,,,,,,,
Delivered,,,,Fortune Atta,YT NON-SKIP,,F 25-45,Mobile,Paid,56061400,1022752976,22980688230,,05-09-2025,30-09-2025,Ahmedabad,"9,09,091",,,4,,"2,00,000","36,36,364",,"1,537,290",,,,0.19,0.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.08636363636,,,,,,,,
Delivered,Sep 2025,Socialbeat,Adani,Fortune Suji&Maida,YT Skippable,36.62%,F 25-44,Mobile,Paid,56094288,1022766218,22987152704,,05-09-2025,26-09-2025,Bangalore,"11,25,000",,,4,,69000,4500000,,181993,,,,0.14,0.09,,,,,All media plan sheet,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,,F 25-44,Mobile,Paid,56094288,1022766218,22987171424,,05-09-2025,26-09-2025,Mumbai,"15,77,381",,,4,,147000,6309524,,1652332,,,,0.14,0.12,,,,,,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,,F 25-44,Mobile,Paid,56094288,1022766218,22987172312,,05-09-2025,26-09-2025,Orissa,"9,01,163",,,4,,14000,3604651,,2093943,,,,0.15,0.07,,,,,,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,,F 25-44,Mobile,Paid,56094288,1022766218,22987172387,,05-09-2025,26-09-2025,Nagpur,"1,89,024",,,4,,30500,756098,,407346,,,,0.14,0.08,,,,,,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,,F 25-44,Mobile,Paid,56094288,1022766218,22987173254,,05-09-2025,26-09-2025,Vizag,"1,62,500",,,4,,25500,650000,,279572,,,,0.14,0.08,,,,,,,,
Delivered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142,0.09,,,,,,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,52.78%,F 25-44,CTV,Paid,56094288,1022769314,22987205678,,05-09-2025,26-09-2025,Bangalore,"1,50,000",,,4,,220000,600000,,244316,,,,0.3,0.15,,,,,,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,,F 25-44,CTV,Paid,56094288,1022769314,22980934554,,05-09-2025,26-09-2025,Mumbai,"3,84,375",,,4,,315000,1537500,,749439,,,,0.25,0.14,,,,,,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,,F 25-44,CTV,Paid,56094288,1022769314,22991292898,,05-09-2025,26-09-2025,Orissa,"1,08,333",,,4,,37000,433333,,234463,,,,0.19,0.11,,,,,,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,,F 25-44,CTV,Paid,56094288,1022769314,22991293138,,05-09-2025,26-09-2025,Nagpur,"44,231",,,4,,190000,176923,,70010,,,,0.2,0.13,,,,,,,,
Delivered,,,,Fortune Suji&Maida,YT Skippable,,F 25-44,CTV,Paid,56094288,1022769314,22980934938,,05-09-2025,26-09-2025,Vizag,"82,031",,,4,,31000,328125,,143861,,,,0.2,0.12,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228,0.09627667984,,,,,,,,
Delivered,Sept,HAVAS MEDIA,Magicbricks,Magicbricks,,60%,,,Test,56082464,,,,12-09-2025,3-10-2025,,,,,,,"2,00,000",,,,,,,₹0.45,0.18,,,,,,,,vtr : 40% 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered,,Madison,Zouk,Zouk Bagful Festive,Non-Skip,,,CTV,,56112048,1022866245,23016154969,,12-09-2025,31-10-2025,Bangalore,"1,466,300",,,4,,"611,594","6,305,090",,"5,044,072",,,,,,,,97,,,,,
Delivered,,,,Zouk Bagful Festive,Skip,,,CTV,,56112048,1022866245,23016155269,,12-09-2025,31-10-2025,Bangalore,"794,278",,,2,,"61,159","1,588,555",,"555,994",,,,0.11,,,,,,,,,
Delivered,,,,Zouk Bagful Festive,Non-Skip,,,CTV,,56112048,1022859681,23015402059,,12-09-2025,31-10-2025,Mumbai,"2,557,800",,,5,,"1,304,478","12,789,000",,"10,231,200",,,,,,,,102,,,,,
Delivered,,,,Zouk Bagful Festive,Skip,,,CTV,,56112048,1022859681,23015453929,,12-09-2025,31-10-2025,Mumbai,"1,303,175",,,2,,"130,448","2,866,985",,"1,003,445",,,,0.13,,,,,,,,,
Delivered,,,,Zouk Bagful Festive,Non-Skip,,,CTV,,56112048,1023254269,23012287175,,12-09-2025,31-10-2025,Delhi,"4,713,500",,,5.5,,"2,410,955","25,924,250",,"20,739,400",,,,,,,,93,,,,,
Delivered,,,,Zouk Bagful Festive,Skip,,,CTV,,56112048,1023254269,23016270139,,12-09-2025,31-10-2025,Delhi,"2,846,464",,,2,,"241,096","6,262,221",,"2,191,778",,,,0.11,,,,,,,,,
Delivered,,,,Zouk Bagful Festive,Non-Skip,,,CTV,,56112048,1022894102,23016359998,,12-09-2025,31-10-2025,Chennai,"968,200",,,5,,"306,726","4,356,900",,"3,485,520",,,,,,,,70.4,,,,,
Delivered,,,,Zouk Bagful Festive,Skip,,,CTV,,56112048,1022894102,23012376197,,12-09-2025,31-10-2025,Chennai,"497,931",,,2,,"30,673","1,095,449",,"383,407",,,,0.08,,,,,,,,,
Delivered,,,,Zouk Bagful Festive,Non-Skip,,,CTV,,56112048,1022867562,23006323143,,12-09-2025,31-10-2025,Pune,"1,035,400",,,3,,"239,177","3,106,200",,"2,484,960",,,,,,,,77,,,,,
